Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.2397904999998864,1000,,,,-0.0619140625,-0.01474609375,-0.9705078125,0.00003286333252172211,0.00424894588785528,16.44117248603839,0.18321912776277452,0,0,3.0123373709274945,0,0,0,0,0.07275390625,,
0.24108125000004654,1000,,,,-0.0625,-0.01416015625,-0.9693359375,0.00003954051706997673,0.007141452425512179,16.441465555238054,0.18403741171380728,0,0,3.025844841543627,0,0,0,0,0.06787109375,,
0.7528352500000037,1000,,,,-0.0625,-0.0142578125,-0.9685546875,0.00009835016960427209,0.004024336202831905,16.441475591049358,0.1836809485811811,0,0,3.019985836677113,0,0,0,0,0.06474609375,,
1.2828255000000355,1000,,,,-0.0625,-0.01396484375,-0.96845703125,0.00006223022429614424,0.00435434131649105,16.441593836272283,0.18217119215293115,0,0,2.9951849189996675,0,0,0,0,0.06416015625,,
1.7872712499999905,1000,,,,-0.0625,-0.0142578125,-0.96982421875,0.00004037609104125798,-0.000617294539378099,16.44136985618744,0.1830567996247025,0,0,3.0097046110973737,0,0,0,0,0.06376953125,,
2.2824532500000676,1000,,,,-0.0625,-0.0138671875,-0.9703125,0.000012367074523520939,0.0003428611241659889,16.441400215945357,0.18311932160208308,0,0,3.010738137895699,0,0,0,0,0.06376953125,,
2.8024449999999725,1000,,,,-0.0625,-0.01455078125,-0.96748046875,0.00005341693272271408,-0.0035285532935778745,16.441159421936536,0.18260042036312224,0,0,3.0021626743986145,0,0,0,0,0.0634765625,,
3.311891750000045,1000,,,,-0.0625,-0.01455078125,-0.96796875,-0.00008416703572761441,0.0008797871325762098,16.441513050315514,0.18415432273562818,0,0,3.027775657417239,0,0,0,0,0.0625,,
3.807425499999989,1000,,,,-0.0625,-0.01474609375,-0.97060546875,0.00005351011543409585,0.001317179632181728,16.4420669725336,0.18191373473482397,0,0,2.9910377133494435,0,0,0,0,0.0630859375,,
4.309903500000108,1000,,,,-0.0625,-0.01416015625,-0.9650390625,0.000020586926964009826,-0.0002130633922392351,16.44201095159449,0.18163081213563076,0,0,2.98637571449292,0,0,0,0,0.0625,,
4.807493250000104,1000,,,,-0.0625,-0.01416015625,-0.97333984375,0.00006271320726889119,-0.0008446663458592683,16.441972098090854,0.1822489866909189,0,0,2.9965327568252613,0,0,0,0,0.06337890625,,
5.332847000000114,1000,,,,-0.0625,-0.0142578125,-0.97109375,-0.00003293817570866496,-0.0005662655907043592,16.441633990773518,0.18359453087173944,0,0,3.018594090485606,0,0,0,0,0.064453125,,
5.8817849999999625,1000,,,,-0.0625,-0.01396484375,-0.97314453125,0.00008085088994277369,-0.0019870553842478524,16.442386129178875,0.18256751699886367,0,0,3.00184556645646,0,0,0,0,0.06435546875,,
6.385423250000132,1000,,,,-0.0625,-0.0142578125,-0.97080078125,-0.00008658941280302536,0.003263862539900005,16.442147215596368,0.18310022331017714,0,0,3.010560749197869,0,0,0,0,0.064453125,,
6.883858750000037,1000,,,,-0.0625,-0.0142578125,-0.97177734375,0.00006000461214376949,0.0013389635767780323,16.441858507958337,0.18180326156425347,0,0,2.9891835319445916,0,0,0,0,0.064453125,,
7.38935525000016,1000,,,,-0.0625,-0.0140625,-0.96904296875,0.000004925953342649307,0.002089315932943231,16.441840091069366,0.1827394236815259,0,0,3.004572367520534,0,0,0,0,0.064453125,,
7.882745749999957,1000,,,,-0.0625,-0.0146484375,-0.9734375,-0.000006491007744214849,0.0009535685749429621,16.44204746371492,0.18448198594823728,0,0,3.033261913126132,0,0,0,0,0.064453125,,
