Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.2384857499998994,1000,,,,-0.0625,-0.01435546875,-0.9716796875,-0.009531949466538415,0.032296091848374446,16.450027397956386,0.18038219064755473,0,0,2.967291923327485,0,0,0,0,0.064453125,,
0.23924300000057555,1050,,,,-0.0625,-0.0142578125,-0.97568359375,-0.009569918000349144,0.030831064474047515,16.450282407017156,0.18390412542940784,0,0,3.025274864611196,0,0,0,0,0.064453125,,
3.2615750000006054,1100,,,,-0.02734375,-0.041015625,-0.99814453125,-0.00252893597601759,0.37906164777586276,16.441530778898006,0.5287865393904708,0,2773,8.694060676649283,0.7343440025021388,8.443278769297192,0.5379171032954378,0.04359867003134006,0.34404296875,,
6.262192250000453,1150,,,,-0.063671875,-0.00458984375,-0.991015625,0.0009274277531480085,0.6611302684163322,16.43657416384385,0.7464691661203614,0,3509,12.269395646543597,0.340836687336188,2.7777969754317344,0,0.053884733075021264,0.3181640625,,
9.262625000000558,1200,,,,-0.0556640625,-0.01767578125,-1.00400390625,0.0058405319394362765,0.9245446832563238,16.428902953931036,1.0016218923846114,0,4144,16.45554866528417,2.534414231374021,15.401619018801764,0.3648007158862106,0.05618453422482639,0.40302734375,,
12.265526750000566,1250,,,,-0.039453125,-0.01572265625,-0.97080078125,0.011093527071632863,1.1769597994210765,16.419663324509013,1.2802071947189695,0,4689,21.020570756115426,5.4474263611012415,25.914913886777033,0.21607423847636412,0.055991098756093004,0.777734375,,
15.28764075000058,1300,,,,-0.0642578125,-0.008203125,-0.98408203125,0.014304444032937838,1.459577450969495,16.41178484757635,1.5861391632541,0,5195,26.031374982075466,7.782503338988173,29.896737721084957,0.18754807321004438,0.05607004769905871,0.84658203125,,
18.27434675000063,1350,,,,-0.04736328125,-0.03154296875,-0.9857421875,0.01877602079810257,1.7056667437472381,16.4038605959761,1.8945397186565915,0,5633,31.077765035183955,11.07590547763568,35.63934742400369,0.15399859662689425,0.05488391629252665,1.19287109375,,
21.2638875000007,1400,,,,-0.092578125,0.00732421875,-0.97197265625,0.022694517671163504,1.9950363972164715,16.394390912134554,2.2420608663107235,0,6063,36.75722226033466,14.409810160822772,39.20266121564742,0.13845054683905353,0.0542759860743022,1.10380859375,,
24.284101750000616,1450,,,,-0.06572265625,-0.039453125,-1.0673828125,0.02674351296638818,2.272623693301876,16.385348796233224,2.596413434795629,0,6484,42.543139990562835,18.159860166127565,42.685823272484264,0.1251456857482745,0.053419357642828555,0.78349609375,,
27.32025800000066,1500,,,,0.02353515625,-0.06201171875,-1.02060546875,0.03200974272202619,2.5847568411689466,16.374757633137932,3.081070981941715,0,6954,50.45179200617876,23.311347164545104,46.205392063184135,0.1108798850250298,0.051232233871640505,0.74140625,,
30.325760500000552,1550,,,,-0.0505859375,-0.02958984375,-0.99384765625,0.03859644572096599,2.9996725731237457,16.358912777166825,3.696787379579436,0,7471,60.47542241889416,30.19605240288152,49.9314788739554,0.09934033798518994,0.04960209285843855,0.71787109375,,
33.363793250000626,1600,,,,-0.057421875,-0.007421875,-1.00556640625,0.04508570479279309,3.41055165805447,16.3428718000819,4.371079326602732,0,7923,71.4359892710278,37.40847212596713,52.366680952255194,0.09117083734498395,0.04774297599462829,0.80986328125,,
36.34254400000056,1650,,,,-0.05068359375,-0.03701171875,-0.99638671875,0.053103029676897354,3.8582445469424496,16.325722090167808,5.166267110067861,0,8389,84.34304325146664,46.65280369800089,55.31361736713781,0.08270275067523314,0.04574502324862566,1.18154296875,,
39.33910925000059,1700,,,,-0.06337890625,-0.0119140625,-0.979296875,0.06093223785411793,4.403573217163264,16.304113452891787,6.153687656762037,0,8897,100.33041292222467,56.770056369721566,56.58350691608054,0.07756886650615763,0.04389119396755189,0.580859375,,
42.339421000000705,1750,,,,-0.032421875,-0.034765625,-1.00029296875,0.0689076791349896,4.899725282753214,16.28045785244754,7.153051965530497,0,9370,116.4549569990302,67.61346643961699,58.05980659618693,0.0724668346745099,0.042074023492177086,0.483203125,,
45.339137750000646,1800,,,,-0.0419921875,-0.0384765625,-1.05341796875,0.07654867943986234,5.427510375584824,16.25571548214503,8.22933095105282,0,9798,133.77367521215544,78.53991401157421,58.711702842602826,0.0691054300517415,0.04057272657093846,0.56767578125,,
48.34705775000051,1850,,,,-0.0513671875,-0.01240234375,-0.97587890625,0.08541836290916607,5.977873650901694,16.229150605606424,9.432304720999865,0,10239,153.07829396233097,91.58434221946591,59.82844751576771,0.06527203796228319,0.039051186721942056,0.649609375,,
51.33920150000057,1900,,,,-0.059375,-0.0208984375,-1.001171875,0.09376066085014463,6.5218217188596475,16.19828405120027,10.804953798125041,0,10674,175.0216793413,104.80055045791218,59.87985988066315,0.06223091839763351,0.037263654521231496,0.4716796875,,
54.33914650000055,1950,,,,-0.0240234375,0.0064453125,-1.0212890625,0.10487888147279567,7.2298596084345075,16.15917147608564,12.424073058829304,0,11141,200.76272386994205,122.3597728745738,60.94744822834296,0.05908697302557135,0.03601197111715777,0.78095703125,,
57.35899300000062,2000,,,,-0.0091796875,-0.02841796875,-0.99814453125,0.10464640126349276,7.1542677170891125,16.159524592545463,12.394635630327608,0,11111,200.29141935935075,121.7658029096953,60.794339487755096,0.05875463622151828,0.03571929195660575,0.69833984375,,
