Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
6.627394999999961,1000,,,,0,-0.046875,-0.958984375,-0.12351169979528,-18.45377982984145,16.03055278713678,0.012751484763695808,0,0,0.20441334961879604,0,0,0,0,-0.213861849844163,-0.9478610529064697,1.1162330328063508,0.05859375,0.01357177737848761,0,1,1,1,0,0,0,0,,
6.6450250000000235,1000,,,,0,-0.046875,-0.958984375,-0.12351169979528,-18.457621914413494,16.030524534615992,0.012542397487445567,0,0,0.20106121064540214,0,0,0,0,-0.213861849844163,-0.9478610529064697,1.1166265359316392,0.05859375,0.013556150065502676,0,1,1,1,0,0,0,0,,
6.6565849999999624,1000,,,,0,-0.046875,-0.95703125,-0.12351169979528,-18.457621914413494,16.030397178163767,0.012805543429754707,0,0,0.20527794726119342,0,0,0,0,-0.213861849844163,-0.9478610529064697,1.1166265359316392,0.05859375,0.01356701548990255,0,1,1,1,0,0,0,0,,
6.673594999999972,1000,,,,0,-0.048828125,-0.958984375,-0.12351169979528,-18.457621914413494,16.0301954791873,0.013192920865552626,0,0,0.2114851004162575,0,0,0,0,-0.213861849844163,-0.9478610529064697,1.1166265359316392,0.05859375,0.013582864491021057,0,1,1,1,0,0,0,0,,
6.684409999999974,1000,,,,0,-0.048828125,-0.958984375,-0.12351169979528,-18.457621914413494,16.030249722901022,0.012843229494612446,0,0,0.2058801760471654,0,0,0,0,-0.213861849844163,-0.9478610529064697,1.1166265359316392,0.05859375,0.013563432811695725,0,1,1,1,0,0,0,0,,
6.695104999999981,1000,,,,0,-0.046875,-0.958984375,-0.12351169979528,-18.457621914413494,16.03023318601014,0.012845410292859155,0,0,0.20591492236450706,0,0,0,0,-0.213861849844163,-0.9478610529064697,1.1166265359316392,0.05859375,0.013561074473891072,0,1,1,1,0,0,0,0,,
6.705389999999956,1000,,,,0,-0.046875,-0.95703125,-0.12353600670608901,-18.457621914413494,16.0302596985445,0.013541561618564152,0,0,0.21707474946942598,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1166265359316392,0.05859375,0.01359469609289321,0,1,1,1,0,0,0,0,,
6.720805000000051,1000,,,,0,-0.046875,-0.95703125,-0.12353600670608901,-18.457621914413494,16.030273115832117,0.013756209395867414,0,0,0.22051579365433055,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1166265359316392,0.05859375,0.013605688890399259,0,1,1,1,0,0,0,0,,
6.729310000000056,1000,,,,0,-0.046875,-0.958984375,-0.12353600670608901,-18.457621914413494,16.03035911852288,0.013793402906387864,0,0,0.2211132020558747,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1166265359316392,0.05859375,0.013607978128632708,0,1,1,1,0,0,0,0,,
6.74725,1000,,,,0,-0.046875,-0.958984375,-0.12353600670608901,-18.457621914413494,16.030249715542713,0.013695405471649935,0,0,0.2195407696661585,0,0,0,0,-0.21378965365545405,-0.9480802112769204,1.1166265359316392,0.05859375,0.01360385098304459,0,1,1,1,0,0,0,0,,
